ind,spp,loc
10558.PunPundMak_sort.bam,pundamilia,makobe
10560.PunPundMak_sort.bam,pundamilia,makobe
11297.PunPundMak_sort.bam,pundamilia,makobe
11546.PunNyerPyt_sort.bam,nyererei,python
11591.PunNyerMak_sort.bam,nyererei,makobe
11593.PunNyerMak_sort.bam,nyererei,makobe
11595.PunNyerMak_sort.bam,nyererei,makobe
11598.PunNyerMak_sort.bam,nyererei,makobe
11719.PunNyerPyt_sort.bam,nyererei,python
11725.PunPundPyt_sort.bam,pundamilia,python
11727.PunPundPyt_sort.bam,pundamilia,python
11728.PunPundPyt_sort.bam,pundamilia,python
11729.PunPundPyt_sort.bam,pundamilia,python
11986.PunNyerPyt_sort.bam,nyererei,python
11992.PunNyerPyt_sort.bam,nyererei,python
13069.PunPundMak_sort.bam,pundamilia,makobe
